number,italian,english,german
368,rifare,to do again / to redo / to remake / to make again,erneuern
369,svolgere,to unfold / to unroll / to carry out / to develop,entwickeln
370,tingere,to dye,färben
371,affermare,to affirm,behaupten
372,andarsene,to go away,weggehen
373,bussare,to knock ; ( on door),klopfen
374,cominciare,to commence / to begin / to start,beginnen
375,confondere,to confuse / to confound,verwirren
376,esagerare,to exaggerate,übertreiben
377,esistere,to exist,existieren
378,falsificare,to falsify,fälschen
379,giungere,to arrive (essere) / reach (eg. a conclusion) (essere) / join (avere),ankommen
380,lavorare,to work,arbeiten
381,maltrattare,to mistreat,misshandeln
382,piacere,to like / to be pleasing,gefallen
383,proteggere,to protect,schützen
384,riunire,to reunite,vereinen
385,sapere,to know ; ( about something / how to do something),wissen
386,adorare,to adore,anbeten
387,aizzare,to goad / to incite / to whip up,aufhetzen
388,apparire,to appear,erscheinen
389,apprendere,to learn / (more formal use),erfahren
390,avvedersi,to notice / (old fashioned used little in spoken language),bemerken
391,bollire,to boil,kochen
392,concludere,to conclude,abschließen
393,costringere,to force,zwingen
394,detestare,to detest,verabscheuen
395,dire,to say,sagen
396,ferire,to wound,verletzen
397,imbucare,to post,einwerfen
398,osservare,to observe,beobachten
399,prevedere,to foresee / to predict,voraussehen
400,spegnere,to switch off / to turn off / to put out,ausschalten
401,assaggiare,to taste,probieren
402,assalire,to assail / to assault,angreifen
403,benedire,to bless,segnen
404,discendere,to descend,absteigen
405,dormire,to sleep,schlafen
406,offendere,to offend,beleidigen
407,patire,to endure / to suffer,leiden
408,piegare,to fold,falten
409,pronunciare,to pronounce,aussprechen
410,raccomandare,to recommend,empfehlen
411,snodare,to unknot,entknoten
412,sostenere,to sustain,unterstützen
413,tenere,to keep / to hold,halten
414,tradire,to betray,verraten
415,versare,to pour,gießen
416,abitare,to live / to inhabit,wohnen
417,conoscere,to know ; ( someone ),kennen
418,correre,to run,rennen
419,disperare,to despair,verzweifeln
420,essere,to be,sein
421,fare,to do / to make,machen
422,guarire,to heal / to get better / to recover / to cure,heilen
423,imparare,to learn / (more commonly used),lernen
424,nascere,to be born,geboren werden
425,passeggiare,to walk / to stroll,spazieren
426,preparare,to prepare,vorbereiten
427,ritornare,to go back / to come back / to return,zurückkehren
428,sconfiggere,to defeat,besiegen
429,sentire,to feel / to hear,fühlen
430,venire,to come,kommen
431,aprire,to open,öffnen
432,cambiare,to change,ändern
433,cercare,to look for / to seek / to search / to search for,suchen
434,dovere,to have to,müssen
435,guidare,to drive / to guide,fahren
436,lavarsi,to wash oneself / to get washed / to wash ; (self),sich waschen
437,pettinare,to comb,kämmen
438,radersi,to shave oneself / to shave ; (self),sich rasieren
439,sbagliare,to make a mistake,sich irren
440,studiare,to study,studieren
441,svegliarsi,to wake up oneself / to wake oneself up / to wake up ; (self),aufwachen
442,tagliare,to cut,schneiden
443,uccidere,to kill,töten
444,vivere,to live / to be alive,leben
445,volere,to want,wollen
446,addormentarsi,to fall asleep,einschlafen
447,avere,to have,haben
448,bocciare,to fail / to flunk / (an exam) / to reject / to turn down,durchfallen
449,credere,to believe,glauben
450,dare,to give,geben
451,entrare,to enter,eintreten
452,invitare,to invite,einladen
453,lavare,to wash ; (something),waschen
454,mentire,to lie / to tell lies,lügen
455,mordere,to bite,beißen
456,morire,to die,sterben
457,potere,to be able to,können
458,pulire,to clean,reinigen
459,scomparire,to disappear / to vanish,verschwinden
460,volare,to fly,fliegen
461,andare,to go,gehen
462,aiutare,to help,helfen
463,aspettare,to wait for /  expect,warten
464,capire,to understand,verstehen
465,dipingere,to paint,malen
466,dividere,to divide / to separate / to share / to split,teilen
467,evitare,to avoid,vermeiden
468,guardare,to look at,anschauen
469,lasciare,to leave / to leave ; (something) / to let ; (permit),lassen
470,nascondere,to hide,verstecken
471,ordinare,to order / to arrange / to put in an order,bestellen
472,partire,to leave / to depart / to set off / to start ; (a motor),abfahren
473,rompere,to break,brechen
474,saltare,to jump / to explode,springen
475,sognare,to dream,träumen
476,alzarsi,to get up,aufstehen
477,cadere,to fall / to fall down,fallen
478,cantare,to sing,singen
479,crescere,to grow / to increase / to rear / to raise,wachsen
480,formare,to form / to make up,formen
481,giacere,to lie / to be lying down / to lie ; (be situated - a place),liegen
482,giustificare,to justify,rechtfertigen
483,mettere,to put,legen
484,migliorare,to better / to improve,verbessern
485,perdere,to lose / to leak / to miss / (eg train),verlieren
486,rispondere,to respond / to answer / to reply,antworten
487,salire,to get on / to board / to get in / to go up / to climb,steigen
488,stare,to stay / to be,bleiben
489,trovare,to find,finden
490,vincere,to win,gewinnen
491,domandare,to demand / to ask / to inquire,fragen
492,scherzare,to joke,scherzen
493,vestirsi,to dress oneself / to get dressed,sich anziehen
494,innamorarsi,to fall in love,sich verlieben
495,respirare,to breathe / to respire,atmen
496,ricordare,to remember / remind,erinnern
497,combinare,to combine,kombinieren
498,provare,to try / prove,versuchen
499,amare,to love,lieben
500,succedere,to happen / succeed,geschehen
501,mancare,to miss,vermissen
502,significare,to mean / signify,bedeuten
503,ascoltare,to listen / hear,hören
504,fermare,to stop,anhalten
505,controllare,to control / check,überprüfen
506,attraversare,to cross,überqueren
507,bastare,to be enough / suffice,genügen
508,durare,to last / endure,dauern
509,insegnare,to teach,lehren
510,costare,to cost,kosten
511,spostare,to move / shift,verschieben
512,disegnare,to design / draw,zeichnen
513,indossare,to wear / put on,tragen
514,rubare,to steal / rob,stehlen
515,pescare,to fish,fischen
516,bruciare,to burn,brennen
517,riempire,to fill / refill,füllen
518,coltivare,to cultivate / grow,anbauen
519,esplorare,to explore / discover,erkunden
520,allenare,to train / coach,trainieren
521,prenotare,to book / reserve,buchen
522,parcheggiare,to park,parken
523,riparare,to repair,reparieren
524,cucinare,to cook,kochen
525,svuotare,to empty,leeren
526,pianificare,to plan / schedule,planen
527,dispiacere,to displease / disappoint,missfallen
528,sembrare,to seem,scheinen
